,0
0,12.655658403045994
1,12.550977970472752
2,12.643858929544562
3,12.067614703185512
4,11.574663954937687
5,11.737418142453588
6,11.343067249442885
7,12.19416703748504
8,11.550484682899262
9,11.222546703342196
10,12.601615020565724
11,12.528599295085598
12,12.325236134030412
13,11.983751951982862
14,13.230205595351263
15,11.618109506616022
16,12.689662486352066
17,11.947005117254356
18,12.167206856449967
19,11.710499161078795
20,11.427121623799545
21,12.177017194447536
22,12.204558647007564
23,11.37349221738741
24,11.766310036289159
25,12.561661463417241
26,11.897419539211217
27,13.07262314243713
28,11.690146085737595
29,12.508599440399527
30,11.315427652434977
31,11.908802453907999
32,11.46272067679616
33,11.752168662645596
34,11.715154337795518
35,11.903843071794409
36,12.242972365895769
37,12.666854976727578
38,12.804808970419971
39,11.403742192552325
40,11.819265844706251
41,10.606013047964852
42,11.974953613056732
43,11.67030348306206
44,12.732051844699841
45,11.628248553115839
46,11.568543959321751
47,13.36170666138574
48,11.919342373609684
49,11.930581567403935
50,11.812086171488414
51,12.233672636547453
52,11.814673261622488
53,11.862337038063103
54,12.2722741293712
55,12.121848488045835
56,13.54624608132167
57,12.557990797147584
58,11.161074131207814
59,12.47152766196999
60,11.519555097240637
61,12.219943973643042
62,12.734438051977353
63,11.82005605927337
64,12.575848765629035
65,11.551786720016878
66,11.553196665975578
67,11.990560111150016
68,11.862963326373961
69,11.840973594028545
70,10.770816190344323
71,11.794076199180525
72,12.77326796435727
73,11.602181056554906
74,11.690376034659838
75,11.777449372015521
76,12.77379525176606
77,12.096422915684393
78,11.46453925804594
79,12.056815855884485
80,12.129539938706046
81,11.663914554555419
82,12.042609408424285
83,12.234289871411992
84,11.967576267067262
85,12.11424861129673
86,12.16069842888861
87,12.150266342662816
88,12.727531760563108
89,12.176670716500439
90,11.72267846196544
91,12.539044989615187
92,12.212407766029424
93,11.76885829468005
94,11.632502597644025
95,11.597188838925554
96,11.617206972980004
97,12.473084775968681
98,13.096816469350163
99,11.959117023666181
100,11.802221161983104
101,11.521240982411971
102,12.37753559522258
